state,date,sentiment,total,row,col,pval
IL,9.5,-0.06699483394833948,1897,4,8,3.416e-07
IL,11.5,-0.044802861602497406,1922,4,8,0.0003536
IL,13.5,-0.009363109540636037,1415,4,8,0.2586
IL,15.5,0.006400828729281769,1448,4,8,0.5532
IL,17.5,0.026003591160220992,1448,4,8,0.03499
IL,19.5,9.3546477205463e-06,1689,4,8,0.9417
IL,21.5,0.0252573960463531,1467,4,8,0.6361
IL,23.5,0.0388735491753207,1637,4,8,0.002903
IL,25.5,0.04633575727181545,1994,4,8,0.003611
IL,27.5,0.01705962365591398,1860,4,8,0.3098
IL,29.5,0.00559397089397089,1924,4,8,0.6416
IL,31.0,0.022212320916905448,1047,4,8,0.04169
AZ,1.5,-0.1136479254079254,2145,6,4,6.636e-18
AZ,3.5,-0.058770534943917166,4636,6,4,3.216e-10
AZ,5.5,-0.03800289017341041,1038,6,4,0.01375
AZ,7.5,-0.06809955106621773,891,6,4,0.0003208
AZ,9.5,-0.07118217213114754,976,6,4,0.001133
AZ,11.5,-0.09727603686635944,868,6,4,8.627e-06
AZ,13.5,-0.02882715877437326,718,6,4,0.1087
AZ,15.5,0.0021342857142857127,735,6,4,0.8449
AZ,17.5,-0.0313668044077135,726,6,4,0.2464
AZ,19.5,-0.00835389294403893,822,6,4,0.9797
AZ,21.5,-0.022152933151432477,733,6,4,0.1038
AZ,23.5,-0.02128558246828143,867,6,4,0.2477
AZ,25.5,0.01608903162055336,1012,6,4,0.378
AZ,27.5,0.0009103166496424937,979,6,4,0.55
AZ,29.5,-0.03604414843006659,1051,6,4,0.03955
AZ,31.0,0.00746068965517241,580,6,4,0.835
CO,1.5,-0.10276218253968253,2520,5,5,3.599e-20
CO,3.5,-0.06770572620401973,5274,5,5,1.331e-17
CO,5.5,-0.008168398533007335,1636,5,5,0.4385
CO,7.5,-0.03987608867775139,1263,5,5,0.07723
CO,9.5,-0.06211231310466139,1137,5,5,0.000246
CO,11.5,-0.023054696673189826,1022,5,5,0.09689
CO,13.5,0.01703248407643312,785,5,5,0.8196
CO,15.5,0.030429891304347832,736,5,5,0.2466
CO,17.5,0.03462951219512195,820,5,5,0.07654
CO,19.5,0.017232611050920915,923,5,5,0.04104
CO,21.5,0.013260664112388245,783,5,5,0.3156
CO,23.5,0.02754004424778761,904,5,5,0.02648
CO,25.5,0.04534845188284519,1195,5,5,0.02623
CO,27.5,0.01781135922330097,1030,5,5,0.594
CO,29.5,0.021561087420042643,938,5,5,0.3911
CO,31.0,-0.01934680483592401,579,5,5,0.4178
FL,1.5,-0.09918269712140175,9588,8,9,2.218e-63
FL,3.5,-0.062472351264195904,21397,8,9,4.032e-60
FL,5.5,-0.0630207249277296,4497,8,9,1.43e-14
FL,7.5,-0.06581866274797943,4083,8,9,5.061e-14
FL,9.5,-0.078028955954323,3678,8,9,6.856e-19
FL,11.5,-0.040020267857142855,3360,8,9,1.599e-06
FL,13.5,-0.029649336203803372,2787,8,9,0.008771
FL,15.5,0.013815487714072969,2686,8,9,0.1675
FL,17.5,-0.0018115053763440847,2790,8,9,0.5233
FL,19.5,-7.783818356251951e-05,3127,8,9,0.3721
FL,21.5,0.013371367939928174,3063,8,9,0.2452
FL,23.5,0.0229984131403118,3592,8,9,0.004926
FL,25.5,0.030364553170244637,4006,8,9,0.0005608
FL,27.5,0.01804650869674817,3967,8,9,0.4045
FL,29.5,0.01907332664828278,3989,8,9,0.08914
FL,31.0,-0.016485424028268556,2264,8,9,0.2002
MI,1.5,-0.12067491694352159,2408,3,9,3.36e-25
MI,3.5,-0.07029149879129734,4964,3,9,6.516e-18
MI,5.5,-0.052171897163120574,1128,3,9,0.006575
MI,7.5,-0.07139380902413431,953,3,9,0.0003569
MI,9.5,-0.06518831300813009,984,3,9,0.01286
MI,11.5,-0.028849781976744183,1376,3,9,0.004686
MI,13.5,-0.010568943436499459,937,3,9,0.7525
MI,15.5,0.009944767441860463,860,3,9,0.4945
MI,17.5,0.013107233065442023,871,3,9,0.8968
MI,19.5,-0.009929708737864073,1030,3,9,0.1576
MI,21.5,0.014288084112149534,856,3,9,0.7368
MI,23.5,0.03347325,1200,3,9,0.004439
MI,25.5,0.019191728701406122,1209,3,9,0.4118
MI,27.5,0.02616,1270,3,9,0.005886
MI,29.5,-0.009993519278096798,1219,3,9,0.692
MI,31.0,0.029857962697274032,697,3,9,0.04162
IA,1.5,-0.08673223880597015,670,4,7,0.000133
IA,3.5,-0.05008069444444445,1440,4,7,0.0006656
IA,5.5,-0.04819789227166277,427,4,7,0.03931
IA,7.5,-0.03231222826086957,368,4,7,0.1335
IA,9.5,-0.07810611620795108,327,4,7,0.04953
IA,11.5,-0.015051651651651652,333,4,7,0.5206
IA,13.5,0.019523137254901964,255,4,7,0.7463
IA,15.5,0.015535573122529643,253,4,7,0.9473
IA,17.5,-0.005827272727272724,275,4,7,0.3688
IA,19.5,0.0430755033557047,298,4,7,0.03677
IA,21.5,0.026992452830188682,265,4,7,0.5941
IA,23.5,0.03598289473684211,304,4,7,0.304
IA,25.5,0.041242948717948716,312,4,7,0.01046
IA,27.5,0.04432598684210526,304,4,7,0.1211
IA,29.5,0.045403216374269,342,4,7,0.4075
IA,31.0,0.11113333333333333,177,4,7,0.003334
OK,1.5,-0.06503848275862069,725,6,6,0.007315
OK,3.5,-0.04961192103264997,1317,6,6,0.002221
OK,5.5,-0.04165577464788733,355,6,6,0.04217
OK,7.5,-0.04944285714285714,329,6,6,0.2829
